Samplename,Population
HG01500,IBS
HG01501,IBS
HG01503,IBS
HG01504,IBS
HG01506,IBS
HG01507,IBS
HG01509,IBS
HG01510,IBS
HG01512,IBS
HG01513,IBS
HG01515,IBS
HG01516,IBS
HG01518,IBS
HG01519,IBS
HG01521,IBS
HG01522,IBS
HG01524,IBS
HG01525,IBS
HG01527,IBS
HG01528,IBS
HG01530,IBS
HG01531,IBS
HG01536,IBS
HG01537,IBS
HG01602,IBS
HG01603,IBS
HG01605,IBS
HG01606,IBS
HG01607,IBS
HG01608,IBS
HG01610,IBS
HG01612,IBS
HG01613,IBS
HG01615,IBS
HG01617,IBS
HG01618,IBS
HG01619,IBS
HG01620,IBS
HG01623,IBS
HG01624,IBS
HG01625,IBS
HG01626,IBS
HG01628,IBS
HG01630,IBS
HG01631,IBS
HG01632,IBS
HG01668,IBS
HG01669,IBS
HG01670,IBS
HG01672,IBS
HG01673,IBS
HG01675,IBS
HG01676,IBS
HG01678,IBS
HG01679,IBS
HG01680,IBS
HG01682,IBS
HG01684,IBS
HG01685,IBS
HG01686,IBS
HG01694,IBS
HG01695,IBS
HG01697,IBS
HG01699,IBS
HG01700,IBS
HG01702,IBS
HG01704,IBS
HG01705,IBS
HG01707,IBS
HG01708,IBS
HG01709,IBS
HG01710,IBS
HG01746,IBS
HG01747,IBS
HG01756,IBS
HG01757,IBS
HG01761,IBS
HG01762,IBS
HG01765,IBS
HG01766,IBS
HG01767,IBS
HG01768,IBS
HG01770,IBS
HG01771,IBS
HG01773,IBS
HG01775,IBS
HG01776,IBS
HG01777,IBS
HG01779,IBS
HG01781,IBS
HG01783,IBS
HG01784,IBS
HG01785,IBS
HG01786,IBS
HG02219,IBS
HG02220,IBS
HG02221,IBS
HG02223,IBS
HG02224,IBS
HG02230,IBS
HG02231,IBS
HG02232,IBS
HG02233,IBS
HG02235,IBS
HG02236,IBS
HG02238,IBS
HG02239,IBS
NA18486,YRI
NA18488,YRI
NA18489,YRI
NA18498,YRI
NA18499,YRI
NA18501,YRI
NA18502,YRI
NA18504,YRI
NA18505,YRI
NA18507,YRI
NA18508,YRI
NA18510,YRI
NA18511,YRI
NA18516,YRI
NA18517,YRI
NA18519,YRI
NA18520,YRI
NA18522,YRI
NA18523,YRI
NA18853,YRI
NA18856,YRI
NA18858,YRI
NA18861,YRI
NA18864,YRI
NA18865,YRI
NA18867,YRI
NA18868,YRI
NA18870,YRI
NA18871,YRI
NA18873,YRI
NA18874,YRI
NA18876,YRI
NA18877,YRI
NA18878,YRI
NA18879,YRI
NA18881,YRI
NA18907,YRI
NA18908,YRI
NA18909,YRI
NA18910,YRI
NA18912,YRI
NA18915,YRI
NA18916,YRI
NA18917,YRI
NA18923,YRI
NA18924,YRI
NA18933,YRI
NA18934,YRI
NA19092,YRI
NA19093,YRI
NA19095,YRI
NA19096,YRI
NA19098,YRI
NA19099,YRI
NA19102,YRI
NA19107,YRI
NA19108,YRI
NA19113,YRI
NA19114,YRI
NA19116,YRI
NA19117,YRI
NA19118,YRI
NA19119,YRI
NA19121,YRI
NA19129,YRI
NA19130,YRI
NA19131,YRI
NA19137,YRI
NA19138,YRI
NA19141,YRI
NA19143,YRI
NA19144,YRI
NA19146,YRI
NA19147,YRI
NA19149,YRI
NA19152,YRI
NA19153,YRI
NA19159,YRI
NA19160,YRI
NA19171,YRI
NA19172,YRI
NA19175,YRI
NA19184,YRI
NA19185,YRI
NA19189,YRI
NA19190,YRI
NA19197,YRI
NA19198,YRI
NA19200,YRI
NA19201,YRI
NA19204,YRI
NA19206,YRI
NA19207,YRI
NA19209,YRI
NA19210,YRI
NA19213,YRI
NA19214,YRI
NA19222,YRI
NA19223,YRI
NA19225,YRI
NA19235,YRI
NA19236,YRI
NA19238,YRI
NA19239,YRI
NA19247,YRI
NA19248,YRI
NA19256,YRI
NA19257,YRI
